text,label
Finish calculus problem set,academic
Review Chapter 8 before tomorrow's quiz,academic
Submit chemistry lab report by Friday,academic
Email professor about project requirements,academic
Study for the Physics II midterm,academic
Complete MATLAB homework tonight,academic
Read three journal articles for biomechanics,academic
Draft introduction for senior design report,academic
Knock out the linear algebra exercises,academic
Prepare slides for Tuesday's research presentation,academic
Check answers on differential equations assignment,academic
Finish coding the simulation prototype,academic
Update bibliography for engineering paper,academic
Meet lab partner to analyze experiment data,academic
Turn in CS 240 project before 11:59 PM,academic
Wrap up Thermodynamics Homework 4,academic
Review lecture notes before Friday's exam,academic
Finish problem set before Diff Eqs class,academic
Submit Lab Report #2 by October 10,academic
Read Sections 5.1–5.4 for tomorrow,academic
Double-check my circuit analysis calculations,academic
Complete CHEM 221 pre-lab questions,academic
Meet with project group after class,academic
Start drafting the robotics design report,academic
Solve the remaining differential equations problems,academic
Upload the MATLAB assignment before midnight,academic
Prepare for the organic chemistry quiz,academic
Finalize data analysis for the physics experiment,academic
CS 350 milestone due next Monday,academic
Catch up on missed calculus readings,academic
Calculus III WebAssign problems,academic
Submit the machine learning milestone draft,academic
Read Chapter 11 and annotate key equations,academic
Complete last five physics questions,academic
Prepare figures for the capstone progress meeting,academic
Complete BIO 210 enzyme kinetics worksheet,academic
Set up meeting with teammates to debug the prototype,academic
Check derivations for the fluid mechanics assignment,academic
Upload Homework 6 to Canvas,academic
Work through practice exam without notes,academic
Finalize CAD model for the robotics project,academic
Email TA about unclear problem set instructions,academic
Environmental Engineering Homework 3,academic
Draft methodology for the ongoing research project,academic
Update bibliography for the materials science report,academic
Prepare a summary of Chapter 9 for class,academic
Statics Problem Set 5,academic
Polish the discussion section of the lab report,academic
Study for Diff Eqs first midterm,academic
CS 301 programming assignment,academic
Finish debugging the embedded systems assignment,academic
Outline key concepts for the genetics final,academic
Annotate today's research paper before seminar,academic
Complete the finite element analysis worksheet,academic
Practice proof questions for discrete math,academic
Record observations from the materials testing lab,academic
Submit the capstone progress update by noon,academic
Sketch the PCB layout for the design project,academic
Review compiler notes during study group,academic
Meet the study team to rehearse tomorrow's presentation,academic
Take a short walk before the statistics exam,academic
Clear my head with a quick campus loop before the quiz,academic
Build the dataset for the computer vision project,academic
Compare simulation results with experimental data,academic
Finish peer review comments for the engineering report,academic
Pay the electric bill,personal
Pick up prescription after class,personal
Reply to landlord's email,personal
Grocery run for the week,personal
Renew driver's license,personal
Call bank about the charge,personal
Do laundry tonight,personal
Restock toiletries,personal
Schedule passport renewal appointment,personal
Clean out the fridge,personal
Mail the scholarship paperwork,personal
Buy a new phone charger,personal
Figure out slow internet,personal
Return the library book,personal
Take out the recycling,personal
Refill my transit card,personal
Pay rent before Friday,personal
Email the residence hall office,personal
Restock laundry supplies,personal
Cancel prime's free trial,personal
Pick up dry cleaning,personal
Update mailing address,personal
Restock coffee and Reese's,personal
organize desk drawers,personal
Drop off Depop package at UPS,personal
Organize monthly budget,personal
Buy batteries and light bulbs,personal
Pick up package from mailroom,personal
Reply to housing office email,personal
Clean out the mini fridge,personal
Pay phone bill,personal
Fix wall damage of dorm,personal
Renew campus parking permit,personal
Schedule a haircut,personal
Vacuum dorm,personal
Grab groceries from the campus market,personal
Replace the dead desk lamp bulb,personal
meal plan expire,personal
Order more laundry detergent,personal
Fix bike tire,personal
Call mom back,personal
Submit timesheet for campus job,personal
Call financial aid office,personal
Apply to TA job,personal
Deposit last week's paycheck,personal
Follow up with a freelance client,personal
Wash bedding before the weekend,personal
Call my parents tonight,personal
Clean out backpack,personal
Sort through old class papers,personal
Call the internet provider about the outage,personal
Schedule a meeting with the academic advisor,personal
Book a DMV appointment for license renewal,personal
Contact the bank to replace my debit card,personal
Schedule a passport photo appointment,personal
Call the utility company about the incorrect bill,personal
Arrange a move-out inspection with the landlord,personal
Contact financial aid about missing documents,personal
Schedule a pickup for the donated furniture,personal
Call the leasing office about the parking gate,personal
Set an appointment to notarize scholarship forms,personal
Follow up with campus payroll about direct deposit,personal
Pick up my new student ID from the campus office,personal
Confirm the package locker pickup deadline,personal
Report the broken washing machine to residence services,personal
Schedule annual physical exam,health
Go to the gym lol,health
Book dentist appointment,health
Stretch for 15 minutes,health
Daily 30 push-ups,health
take evening meds,health
Check in with my therapist,health
eight hours of sleep,health
Try new yoga class,health
Refill my vitamins,health
Take a walk after class,health
Drink 2l of water,health
Sign up for the campus wellness workshop,health
mental health check-in,health
Plan workout split for next week,health
Hit the gym after class,health
Take vitamins,health
Aim for an early bedtime tonight,health
Go for a quick run,health
Book a physical therapy session for my knee,health
Call the health center about my appointment,health
20-minute meditation,health
Gym leg day,health
healthy mealprep for the week,health
Journal for 20 min,health
Sign up for the intramural soccer league,health
fix sleep schedule,health
Restock on Levothyroxine,health
follow-up with primary care physician,health
Get blood drawn for annual bloodwork,health
Schedule an allergy shot appointment,health
Set a screen-time limit before bed,health
Refill asthma inhaler,health
Check in with my therapist about next week,health
Stretch 15min after studying,health
Lights out by 11 tonight,health
Sign up for the beginner climbing session,health
Pick up contact lens prescription,health
Sign up for a nutrition consultation,health
Book an eye appointment before finals,health
Foam roll after leg day,health
Get back into swimming this week,health
Book a flu shot at the campus clinic,health
upper-body workout,health
Call the clinic about lab results,health
Pack my meds for the weekend trip,health
Clean up new piercing,health
Hair wash day today,health
Try a guided breathing exercise before bed,health
First campus social run,health
Call the counseling center to reschedule therapy,health
Book a dermatology appointment for the skin check,health
Schedule a follow-up with the sports medicine doctor,health
Call the dentist about wisdom tooth pain,health
Make an appointment for a hearing test,health
Book a medication management visit,health
Schedule a concussion evaluation at student health,health
Call the clinic to discuss blood pressure readings,health
Sign up for the campus strength training program,health
Join the beginner Pilates series,health
Register for the weekly mindfulness workshop,health
Sign up for the functional fitness bootcamp,health
Join the stretch and mobility class,health
Register for the student recreation center swim clinic,health
Sign up for the stress management skills group,health
RSVP for the department mixer,social
Coffee with Maya after class,social
Go to game night in the dorm,social
Waffle Wednesday in residence hall,social
Plan a movie night,social
Campus movie night,social
Meet the gang at the library,social
Don't forget the club meeting,social
Grab dinner with my roommate,social
Tailgate before Saturday's game,social
Check details for Friday's party,social
Ask Jordan out for coffee,social
FaceTime my cousins,social
Sign up for the volunteer social,social
Text Alex about this weekend,social
plant club 6 PM meeting,social
Brunch with friends on Sunday,social
Call Emma after my last class,social
Confirm plans for Friday night,social
RSVP to Jake's birthday party,social
campus concert tonight,social
Plan a study break with the group,social
Date night downtown,social
Catch up with my old roommate,social
Stop by the welcome social,social
Hosting board games tonight,social
Friday 8 PM: karaoke night,social
lunch with Chris,social
Don't miss the coding club meeting,social
Go to the sorority's info night,social
Meet everyone outside the student union at 5,social
Attend the international students mixer,social
Noah's birthday,social
Stop by the cultural club social,social
Late-night ice cream run with the crew,social
Meet Mike's visiting parents for dinner,social
Prep apartment for hosting,social
Trivia night at 7,social
Meet everyone at SU after lab,social
dorm party,social
Hang out before the football game,social
Study break with the usual crew,social
Show up to open mic night,social
Taco Tuesday 4pm,social
Reply to Hannah's text,social
Grab boba after last class,social
Help decorate for the floor's Friendsgiving,social
Pickup Allie from airport,social
Check the group chat for Saturday's plans,social
Go to the a cappella group's showcase,social
Swing by the anime club hangout after class,social
Meet the robotics club crew for pizza,social
Explore the campus club fair with friends,social
Grab drinks with coworkers after the shift,social
Watch the game at Marcus's place,social
Join the astronomy club stargazing night,social
Surprise birthday planning with the group,social
Language exchange meetup with the international group,social
Dinner with my cousin while they're in town,social
Invite Sam over to watch the game,social
Catch up over coffee with my lab buddy,social
Double date on Saturday evening,social
Video call the friend studying abroad,social
Bonfire at the lake with everyone,social
Celebrate finishing finals with the roommates,social
